title,authors,abstract,item_type,year,url,ecosystem_Marine_similarity,ecosystem_Freshwater_similarity,ecosystem_Terrestrial_similarity,ecosystem,ecosystem_confidence,taxa_Bacteria_similarity,taxa_Archaea_similarity,taxa_Protozoa_similarity,taxa_Chromista_similarity,taxa_Plantae_similarity,taxa_Fungi_similarity,taxa_Animalia_similarity,taxa,taxa_confidence,method_Measurement_similarity,method_Inferential_similarity,method,method_confidence
BioSCape Coastal Carbon,"Guild, Liane; Maria Tzortziou","This dataset includes the spectral absorption and fluorescence characteristics of colored dissolved organic matter (CDOM) and coincident field measurements of hyperspectral water remote sensing reflectance collected in coastal and inland waters around South Africa's Greater Cape Floristic Region (GCFR) as part of NASA's Biodiversity Survey of the Cape (BioSCape) field campaign in 2023. Samples cover three ecologically distinct but socio-economically vital coastal bays: St. Helena Bay, Walker Bay, and Algoa Bay, as well as four contrasting inland aquatic systems: Rietvlei wetland, Zeekoevlei lake, Theewaterskloof dam, and the Klein River estuary. Data from this and other elements of the BioSCape project can be found via the NASA Earthdata portal (https://search.earthdata.nasa.gov).",dataset,2023,https://seabass.gsfc.nasa.gov/experiment/BIOSCAPE_COASTAL_CARBON,0.53697556,0.49918923,0.43030435,Mixed,0.037786335,0.32934633,0.32662705,0.31270832,0.35481232,0.39469546,0.16243479,0.34163135,Mixed,0.039883137,0.22696723,0.1281287,Measurement,0.09883852
The NASA Biodiversity Survey of the Cape (BioSCape),Erin L. Hestir; Adam Wilson; Anabelle Cardoso; Jasper Slingsby; Cherie Forbes,NASA’s first-ever Biodiversity campaign will fly in 2023. Three imaging spectrometers and a lidar onboard two aircraft and a team of over 100 scientists will converge to advance remote sensing of terrestrial and aquatic biodiversity.,conferencePaper,2023,https://opg.optica.org/abstract.cfm?uri=HMISE-2023-HM2C.3,0.3463359,0.29535398,0.34594402,Mixed,0.00039187074,0.28582242,0.32997888,0.23954192,0.1620962,0.27512628,0.09768927,0.35497767,Mixed,0.024998784,0.2184985,0.09660852,Measurement,0.12188998
Increasing Data Access in Multi-Sensor Airborne Campaigns: Lessons from BioSCape in South Africa,Anabelle W. Cardoso; Philip G. Brodrick; Adam M. Wilson; Jasper A. Slingsby; Cherié J. Forbes; Michele Thornton; Erin L. Hestir,"BioSCape, or the Biodiversity Survey of the Cape, is NASA’s first biodiversity-focused integrated remote sensing field campaign. The campaign aims to better understand the structure, function, and composition of the region’s ecosystems, and to learn about how and why they are changing in time. To do this, airborne and field data were collected across aquatic and terrestrial ecosystems in the Greater Cape Floristic Region in southwestern South Africa in 2023. Airborne acquisitions included data from three imaging spectrometers sampling across the electromagnetic spectrum (UVSWIR and TIR) and coincident full-waveform lidar data. Field datasets included measurements to quantify the diversity of plant communities including alien invasives and kelp, phytoplankton functional types, phylogenetic histories, eDNA in watersheds, bird and frog acoustics, plant functional and spectral traits, blue carbon, and in-water radiometry. BioSCape’s airborne and field datasets are diverse and complex, and the airborne data in particular is not inherently easy to use. In this paper we outline the procedures BioSCape followed to ensure maximum impact of the data and support of Open Science and FAIR data principles.",conferencePaper,2024,https://ieeexplore.ieee.org/document/10641184,0.36429065,0.3391804,0.46668214,Terrestrial,0.10239148,0.25852996,0.27669233,0.26839027,0.2483067,0.36723885,0.115972236,0.3279838,Mixed,0.039255053,0.25386855,0.14843614,Measurement,0.105432406
"Dissolved Organic Matter Dynamics in South African Nearshore Waters and Freshwater Systems: Linkages to Changing Human Activity, Episodic Events, and Biodiversity",Luka Catipovic; Maria Tzortziou; Kyle J. Turner; Joshua Harringmeyer; Joaquim Goes; Helga Gomes; Jinghui Wu; Ryan E. O'Shea; Liane S. Guild; Brishan Kalyan; Lisl R. Lain; Marié E. Smith; Thomas G. Bornman; Lucienne R. D. Human; Daniel Buttner; Marelé Nel; Jeremy Kravitz; Humeshni Pilay; Samantha L. Sharp; Juan L. Torres-Perez; Glynn Pindihama; Rabelani Mudzielwana,"The biodiverse and rapidly changing Greater Cape Floristic Region (GCFR) of southern Africa is outlined by coastal bays that receive dissolved organic matter (DOM) from rivers draining complex catchments composed of natural, agricultural, and urban land classes. As part of NASA's BioSCape field campaign (October–November 2023), we characterized the optical properties of three GCFR coastal bays (St. Helena, Walker, and Algoa) and four inland systems (Rietvlei wetland, Zeekoevlei lake, Theewaterskloof dam, and the Klein River estuary) in relation to DOM biogeochemistry and carbon cycling. Measurements of the optical properties of colored DOM (CDOM), including absorption at 300 nm (ag300), spectral slope (S275–295), and fluorescence, highlighted the bio-optical complexity associated with terrestrial influences, urban disturbances, intense biological activity, and rapid transformations along this dynamic coastline. CDOM in the coastal bays was characterized by an order of magnitude lower ag300 (0.5–2.8 m−1) and considerably higher S275–295 (0.020–0.031 nm−1) compared to upstream waters (25–71 m−1 and 0.012–0.019 nm−1, respectively), suggesting intense biological production and/or photochemical degradation. Coastal DOM was mostly (>75%) composed of protein-like compounds indicative of primary production, whereas inland DOM was mostly composed of terrigenous humic materials and had higher overall fluorescence signal. Satellite retrievals, using Sentinel-3 OLCI and Sentinel-2 MSI imagery, captured the relative influence of different rivers on coastal DOM dynamics and revealed that episodic events—extended periods of drought punctuated by heavy precipitation—are the primary drivers of biogeochemical variability along this globally significant, coastal biodiversity hotspot.",journalArticle,2026,https://onlinelibrary.wiley.com/doi/abs/10.1029/2025JG009331,0.37883058,0.41430125,0.37465703,Mixed,0.035470665,0.24981733,0.31813267,0.23251103,0.25290647,0.24998261,0.14839955,0.24103276,Archaea,0.0652262,0.20697884,0.07221353,Measurement,0.13476531
Practices to Decrease Parachute Science in Remote Sensing: A Case Study from South Africa,Anabelle W. Cardoso; Jasper A. Slingsby; Adam M. Wilson; Philip G. Brodrick; Erin L Hestir,"""Parachute science"" is when research is conducted in foreign countries without engaging local people and institutions. It is a colonial practice that most often occurs when researchers from high income countries work in low and middle income countries. Remote sensing field campaigns in low and middle income countries are particularly vulnerable to parachute science. This paper reviews BioSCape, a remote sensing field campaign in South Africa, and its efforts to mitigate parachute science. We discuss strategies for equitable collaboration, trust-building, and knowledge-sharing, highlighting successes and areas for improvement that we hope can guide future campaigns towards greater inclusivity and equity.",conferencePaper,2025,https://ieeexplore.ieee.org/abstract/document/11242638,0.19804339,0.12903446,0.24324194,Mixed,0.045198545,0.14988613,0.09641277,0.06835761,-0.0016746166,0.14196324,0.047493428,0.16105351,Mixed,0.011167377,0.13226767,0.12813658,Mixed,0.0041310936
"BioSCape: AVIRIS-NG L3 Resampled Reflectance Mosaics, V2",P.G. Brodrick; A.M. Chlus; R. Eckert; J.W. Chapman; M. Eastwood; S. Geier; M. Helmlinger; S.R. Lundeen; W. Olson-Duvall; R. Pavlick; L.M. Rios; D.R. Thompson; R.O. Green; ORNL DAAC,"This dataset holds mosaics of resampled surface reflectance from the Airborne Visible / Infrared Imaging Spectrometer-Next Generation (AVIRIS-NG) instrument for Biodiversity Survey of the Cape (BioSCape) project. AVIRIS-NG imagery was acquired in October - November 2023 over the Greater Cape Floristic Region (GCFR), South Africa. L2B surface reflectance data from these AVIRIS-NG collections were resampled to 5-m spatial resolution and mosaiced into a regular tile system of 807 tiles. A given tile includes multiple AVIRIS-NG scenes from multiple flight lines spanning multiple days. BioSCape is a multi-agency, NASA-led research project that integrates airborne imaging spectroscopy and lidar with a suite of measurements of biodiversity. The dataset includes surface reflectance with uncertainty for each tile in netCDF format along with an RGB quicklook image in TIFF format. A spatial index of mosaic grid tiles is included in GeoJSON format.",dataset,2025,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=2427,0.29501215,0.26138636,0.40224987,Terrestrial,0.10723773,0.22227207,0.22841069,0.1937652,0.24650866,0.29720613,0.10488141,0.22695668,Plantae,0.050697476,0.19530663,0.08455183,Measurement,0.110754795
"BioSCape Estuary Wetland Vegetation Plot Data and Habitat Extents, South Africa",A. Campbell; E. Adam; L. Fatoyinbo; D. J. Jensen; M. Simard; K. Smith; P. Thakali; A. Barrenblit; L. Naidoo; H. Van Deventer; A. Stovall,"This dataset provides vegetation information for 64 coastal wetland plots and coastal wetland extent maps for three habitat classes in 84 estuaries in South Africa. The vegetation plot data include vegetation species occurrence, percent cover, salinity, representative vegetation heights, porewater salinity, and ground temperature. In situ plot data were collected between October 27 and November 10, 2023, in Swartvlei Estuary, Wilderness Lakes, Knynsa Estuary, and Langebaan Lagoon within lands administered by the South African National Parks. The habitat extent maps were created for 84 estuaries across the Greater Cape Floristic Region. The classification is a single point in time representing the growing season when the plot data were collected (December 2023-January 2024). The habitat extent data were created with PlanetScope satellite classified with a U-Net semantic segmentation algorithm. The habitats classified are salt marsh, submerged aquatic vegetation, and reeds & sedges. Plot and habitat data were collected and created to inform analysis of the imaging spectroscopy and LiDAR data collected as part of the BioSCape field campaign. The data are provided in cloud optimized GeoTIFF, comma separated values, and geopackage formats.",dataset,2025,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=2441,0.48490193,0.48874548,0.47968903,Mixed,0.003843546,0.24392995,0.22161749,0.17821127,0.2174776,0.333177,0.08202844,0.27897036,Plantae,0.05420664,0.124063835,0.13916238,Mixed,0.015098542
"Biodiversity Survey of the Cape (BioSCape)BioSCape Estuary Wetland Vegetation Plot Data and Habitat Extents, South Africa",A. Campbell; E. Adam; L. Fatoyinbo; D.J. Jensen; M. Simard; K. Smith; P. Thakali; A. Barrenblit; L. Naidoo; H. van Deventer; A. Stovall; ORNL DAAC,"This dataset provides vegetation information for 64 coastal wetland plots and coastal wetland extent maps for three habitat classes in 84 estuaries in South Africa. The vegetation plot data include vegetation species occurrence, percent cover, salinity, representative vegetation heights, porewater salinity, and ground temperature. In situ plot data were collected between October 27 and November 10, 2023, in Swartvlei Estuary, Wilderness Lakes, Knynsa Estuary, and Langebaan Lagoon within lands administered by the South African National Parks. The habitat extent maps were created for 84 estuaries across the Greater Cape Floristic Region. The classification is a single point in time representing the growing season when the plot data were collected (December 2023-January 2024). The habitat extent data were created with PlanetScope satellite classified with a U-Net semantic segmentation algorithm. The habitats classified are salt marsh, submerged aquatic vegetation, and reeds & sedges. Plot and habitat data were collected and created to inform analysis of the imaging spectroscopy and LiDAR data collected as part of the BioSCape field campaign. The data are provided in cloud optimized GeoTIFF, comma separated values, and geopackage formats.",preprint,2025,https://daac.ornl.gov/cgi-bin/dsviewer.pl?ds_id=2441,0.49558425,0.48817238,0.47958314,Mixed,0.0074118674,0.24953803,0.22522397,0.17842115,0.21991235,0.34349638,0.0819664,0.2811868,Plantae,0.062309593,0.111275494,0.11591198,Mixed,0.004636489
What’s That Sound? Evaluating and Understanding the Accuracy of AI Models for Sounds and Soundscape Detection,Leonard Salas; Matthew Clark; Alan Lee; Andrew Turner; Campbell Fleming; Colleen Seymour; Daniel Cloete; Darien Labbe; David Leland; Gurman Gill; John Measey; Kathy Yuen; Oliver Angus; Rose Snyder; Wendy Schackwitz,"As part of the BioScape project in the Greater Cape Floristic Region (GCFR) of South Africa, the overall goal of the BioSoundScape project is to find effective models that accurately correlate measures of diversity among animal detections, soundscapes, and remotely-sensed vegetation spectral and structural properties. With these models, we seek to understand changes in diversity across the landscape and over time. In wet and dry season campaigns in 2023, the BioSoundScape team collected 901,987 minutes (>15,000 hours) of sound recordings from 1,206 survey locations within the flight boxes of the BioScape project. An initial component of our work is the use of Convoluted Neural Network models (CNNs) to automatically detect animal vocalizations (birds, insects, and amphibians) and broader soundscape components, namely biological sounds (biophony), anthropophony (human-caused sounds), geophony (wind, rain, etc.), and physical and electronic interference. We developed a database of human-labeled sounds on a random sample of our data, annotating the type of sound and its exact location (to the second) in >2,500 recordings. We use these reference data to test the accuracy of the CNNs. Here we report the CNN model accuracy results and optimal filters of predictions that maximize detections with minimal commission error. We also evaluate the effect of anthropophony, geophony, interference, and biophony on the accuracy of CNN-based animal predictions. We then apply the resulting optimal filters and prediction correction models to our entire dataset. We present the resulting soundscape and sound diversity estimates across all locations surveyed in the GCFR. This properly penalized and filtered set of predictions will then allow us to address project target goals of relating animal richness to habitat diversity as measured by BioSCape airborne hyperspectral and lidar sensors.",presentation,2024,https://agu.confex.com/agu/agu24/meetingapp.cgi/Paper/1708804,0.26442066,0.2585324,0.35049132,Terrestrial,0.08607066,0.2265347,0.24830578,0.16890013,0.11781879,0.2875078,0.1551115,0.40453008,Animalia,0.117022276,0.21625319,0.2599108,Mixed,0.0436576
Thirty Years of Airborne Forest Mapping from LVIS,Michelle A. Hofton; J. Bryan Blair; David Rabine,"NASA's Land Vegetation and Ice Sensor (LVIS) is an airborne, wide-swath lidar system for mapping surface elevation, 3d heights and structure. Since 1996/1997 the sensor has been used to provide collect data from various biomes and locations, providing a wealth of data for a variety of applications including spaceborne sensor development and science investigations. Data are collected from medium-high altitude using footprint sizes of 5m to 25m (dependent on science requirements) and digitally-records the shapes of both the outgoing and reflecting waveforms for each laser shot. Combined with aircraft position and attitude knowledge, the sensor produces topographic maps with decimeter accuracy and vertical height and 3D structure measurements of overflown terrain, e.g., vegetation and ice. Data are freely available and distributed via the NASA NSIDC DAAC and Earthdata. LVIS has collected 100,000's sq. km over Antartica, Greenland, and the U.S. and recent campaigns include data collections in Gabon and South Africa (BioSCape) in 2023, and the US (ICESat-2 and SARP) and the Arctic (ARCSIX) in 2024. Data are used for a variety of purposes including those requiring topographic, and/or canopy/surface height measurements. LVIS is also used extensively for satellite cal/val, e.g, having flown multiple underflights of GEDI ground tracks for data product accuracy investigations. Results from recent campaigns will be highlighted as well as future campaigns and data collections opportunities discussed.",presentation,2025,https://agu.confex.com/agu/agu25/meetingapp.cgi/Paper/2003488,0.2005202,0.21526662,0.36354157,Terrestrial,0.14827496,0.149815,0.17971371,0.123351686,0.11195117,0.24053414,0.110450566,0.15795675,Plantae,0.06082043,0.30294868,0.1440587,Measurement,0.15888998
